Context Switch ¦¸¼Æ: ,0,Context Switch Cost: ,0, Average Waiting Time: ,4538.53, Average TurnAround Time: ,4540.43, Average Response Time: ,4538.53, Longest Wait: ,9138, Longest Turn: ,9140, Longest Response: ,9138, end time ,19010, Throughput: ,0.526039

id,turnaround time,waiting time,response time,priority,burst time,arrive time,finished time
1,1,0,0,1,1,1,2
2,3,0,0,2,3,2,5
3,3,1,1,4,2,4,7
4,3,1,1,3,2,6,9
5,4,3,3,10,1,6,10
6,5,4,4,9,1,6,11
7,9,5,5,4,4,6,15
8,9,8,8,10,1,7,16
9,10,9,9,1,1,7,17
10,13,10,10,3,3,7,20
11,14,12,12,4,2,8,22
12,16,14,14,6,2,8,24
13,17,16,16,4,1,8,25
14,19,17,17,7,2,8,27
15,21,19,19,10,2,8,29
16,21,20,20,2,1,9,30
17,22,20,20,10,2,10,32
18,24,22,22,2,2,10,34
19,23,22,22,3,1,12,35
20,25,22,22,1,3,13,38
21,26,25,25,10,1,13,39
22,28,26,26,4,2,13,41
23,30,27,27,1,3,14,44
24,32,29,29,10,3,15,47
25,32,31,31,7,1,16,48
26,33,31,31,10,2,17,50
27,34,33,33,9,1,17,51
28,35,34,34,7,1,17,52
29,36,35,35,2,1,17,53
30,37,35,35,2,2,18,55
31,37,35,35,10,2,20,57
32,38,37,37,3,1,20,58
33,38,37,37,3,1,21,59
34,39,38,38,5,1,21,60
35,40,37,37,7,3,23,63
36,42,40,40,5,2,23,65
37,45,41,41,3,4,24,69
38,44,42,42,2,2,27,71
39,45,44,44,6,1,27,72
40,46,44,44,6,2,28,74
41,46,45,45,4,1,29,75
42,47,45,45,9,2,30,77
43,49,46,46,1,3,31,80
44,51,49,49,10,2,31,82
45,49,48,48,5,1,34,83
46,52,49,49,2,3,34,86
47,55,52,52,1,3,34,89
48,58,55,55,6,3,34,92
49,60,58,58,5,2,34,94
50,61,60,60,5,1,34,95
51,62,59,59,6,3,36,98
52,63,61,61,4,2,37,100
53,63,62,62,8,1,38,101
54,63,62,62,6,1,39,102
55,67,63,63,5,4,39,106
56,67,66,66,4,1,40,107
57,68,67,67,8,1,40,108
58,69,68,68,6,1,40,109
59,70,68,68,10,2,41,111
60,70,69,69,9,1,42,112
61,73,70,70,7,3,42,115
62,74,73,73,2,1,42,116
63,74,73,73,3,1,43,117
64,74,73,73,2,1,44,118
65,78,74,74,6,4,44,122
66,80,76,76,9,4,46,126
67,78,77,77,6,1,49,127
68,81,77,77,9,4,50,131
69,82,80,80,1,2,51,133
70,83,81,81,1,2,52,135
71,83,82,82,4,1,53,136
72,85,83,83,6,2,53,138
73,88,85,85,2,3,53,141
74,89,87,87,6,2,54,143
75,89,88,88,5,1,55,144
76,88,86,86,8,2,58,146
