Context Switch ¦¸¼Æ: ,1268,Context Switch Cost: ,0, Average Waiting Time: ,247.306, Average TurnAround Time: ,262.349, Average Response Time: ,28.697, Longest Wait: ,7976, Longest Turn: ,7987, Longest Response: ,478, end time ,15065, Throughput: ,0.066379

id,turnaround time,waiting time,response time,priority,burst time,arrive time,finished time
1,20,0,0,4,20,16,36
2,15,8,8,6,7,28,43
3,16,0,0,1,16,45,61
4,14,3,3,7,11,58,72
5,344,330,0,10,14,73,417
6,21,0,0,2,21,84,105
7,12,4,4,8,8,101,113
8,14,0,0,3,14,114,128
9,11,0,0,1,11,128,139
10,32,12,1,7,20,138,170
11,11,0,0,4,11,148,159
12,49,38,9,7,11,161,210
13,16,0,0,2,16,177,193
14,15,2,2,2,13,191,206
15,42,23,6,8,19,204,246
16,17,0,0,6,17,214,231
17,34,21,21,8,13,225,259
18,159,148,26,10,11,233,392
19,16,0,0,2,16,261,277
20,15,1,1,3,14,276,291
21,19,1,1,4,18,290,309
22,37,22,4,4,15,305,342
23,18,0,0,1,18,323,341
24,12,2,2,8,10,340,352
25,19,0,0,1,19,353,372
26,16,4,4,6,12,368,384
27,15,0,0,1,15,392,407
28,9,1,1,3,8,406,415
29,21,0,0,1,21,420,441
30,24,7,7,8,17,434,458
31,110,95,14,9,15,444,554
32,21,0,0,4,21,459,480
33,31,9,0,5,22,483,514
34,68,55,23,9,13,491,559
35,9,0,0,2,9,504,513
36,21,0,0,7,21,522,543
37,3400,3385,7,10,15,536,3936
38,4693,4675,10,10,18,549,5242
39,77,57,0,9,20,560,637
40,16,0,0,2,16,568,584
41,44,22,3,6,22,581,625
42,19,0,0,4,19,592,611
43,29,20,20,9,9,617,646
44,400,387,17,9,13,629,1029
45,17,0,0,5,17,648,665
46,46,31,3,8,15,662,708
47,28,15,0,7,13,670,698
48,15,0,0,2,15,679,694
49,404,387,216,9,17,693,1097
50,130,114,2,8,16,706,836
51,14,0,0,7,14,718,732
52,34,14,0,4,20,733,767
53,14,0,0,3,14,745,759
54,26,14,3,7,12,764,790
55,11,0,0,1,11,776,787
56,23,0,0,4,23,794,817
57,20,2,2,4,18,815,835
58,19,0,0,1,19,838,857
59,37,21,5,8,16,852,889
60,16,0,0,4,16,860,876
61,646,624,37,10,22,872,1518
62,24,4,4,8,20,885,909
63,497,485,71,10,12,898,1395
64,61,46,0,7,15,914,975
65,14,0,0,6,14,922,936
66,16,0,0,3,16,937,953
67,16,0,0,3,16,953,969
68,13,3,3,7,10,972,985
69,35,15,0,2,20,985,1020
70,15,0,0,1,15,1001,1016
71,88,72,41,9,16,1024,1112
72,33,17,0,8,16,1032,1065
73,17,0,0,5,17,1044,1061
74,51,38,38,9,13,1059,1110
75,9,0,0,8,9,1079,1088
