Context Switch ¦¸¼Æ: ,619,Context Switch Cost: ,0, Average Waiting Time: ,2536.17, Average TurnAround Time: ,2541.16, Average Response Time: ,1469.44, Longest Wait: ,4634, Longest Turn: ,4643, Longest Response: ,2932, end time ,4992, Throughput: ,0.200321

id,turnaround time,waiting time,response time,priority,burst time,arrive time,finished time
1,20,13,0,5,7,1,21
2,35,30,3,3,5,2,37
3,8,6,6,3,2,3,11
4,58,51,7,9,7,4,62
5,13,10,10,8,3,5,18
6,19,15,15,7,4,6,25
7,22,18,18,5,4,7,29
8,24,21,21,2,3,8,32
9,27,23,23,4,4,9,36
10,30,27,27,3,3,10,40
11,152,147,29,6,5,11,163
12,35,32,32,2,3,12,47
13,177,170,34,6,7,13,190
14,191,185,37,2,6,14,205
15,44,40,40,2,4,15,59
16,49,46,46,2,3,16,65
17,241,234,48,6,7,17,258
18,54,51,51,5,3,18,72
19,56,53,53,3,3,19,75
20,277,271,55,1,6,20,297
21,1227,1218,58,5,9,21,1248
22,64,61,61,10,3,22,86
23,65,63,63,2,2,23,88
24,68,64,64,5,4,24,92
25,343,336,67,7,7,25,368
26,358,353,70,10,5,26,384
27,371,366,73,8,5,27,398
28,78,76,76,9,2,28,106
29,1639,1630,77,5,9,29,1668
30,410,403,80,8,7,30,440
31,85,83,83,8,2,31,116
32,86,84,84,2,2,32,118
33,89,85,85,3,4,33,122
34,452,447,88,2,5,34,486
35,468,462,91,10,6,35,503
36,2036,2027,94,10,9,36,2072
37,501,495,97,9,6,37,538
38,520,512,100,6,8,38,558
39,105,103,103,2,2,39,144
40,107,104,104,4,3,40,147
41,554,549,106,1,5,41,595
42,570,564,109,9,6,42,612
43,116,112,112,6,4,43,159
44,118,115,115,6,3,44,162
45,614,607,118,2,7,45,659
46,122,121,121,7,1,46,168
47,632,624,121,9,8,47,679
48,128,124,124,7,4,48,176
49,130,127,127,1,3,49,179
50,133,129,129,3,4,50,183
51,686,680,132,9,6,51,737
52,140,138,138,8,2,52,192
53,722,714,139,3,8,53,775
54,145,142,142,2,3,54,199
55,148,144,144,2,4,55,203
56,768,760,149,1,8,56,824
57,154,152,152,1,2,57,211
58,790,784,153,1,6,58,848
59,159,156,156,9,3,59,218
60,816,809,158,8,7,60,876
61,827,822,161,1,5,61,888
62,166,164,164,8,2,62,228
63,852,844,165,9,8,63,915
64,866,860,168,3,6,64,930
65,881,876,171,9,5,65,946
66,896,889,174,10,7,66,962
67,913,907,177,2,6,67,980
68,184,180,180,9,4,68,252
69,186,183,183,7,3,69,255
70,966,959,188,5,7,70,1036
71,982,976,191,3,6,71,1053
72,993,988,194,7,5,72,1065
73,1010,1003,197,5,7,73,1083
74,1027,1021,200,10,6,74,1101
75,206,203,203,4,3,75,281
76,1051,1046,205,6,5,76,1127
77,1067,1061,208,6,6,77,1144
78,213,211,211,2,2,78,291
79,1089,1083,212,4,6,79,1168
80,1111,1105,217,9,6,80,1191
81,224,220,220,5,4,81,305
82,225,223,223,2,2,82,307
83,1150,1143,224,6,7,83,1233
84,1184,1176,231,7,8,84,1268
85,1200,1194,234,3,6,85,1285
86,1217,1211,237,9,6,86,1303
87,1232,1226,240,7,6,87,1319
88,1247,1240,243,6,7,88,1335
89,1262,1257,246,2,5,89,1351
90,253,249,249,7,4,90,343
91,254,252,252,3,2,91,345
92,1292,1287,253,2,5,92,1384
93,1309,1302,256,6,7,93,1402
94,1327,1320,259,3,7,94,1421
95,266,262,262,4,4,95,361
96,269,265,265,4,4,96,365
97,1376,1370,271,2,6,97,1473
98,277,274,274,7,3,98,375
99,280,276,276,5,4,99,379
100,1420,1412,279,10,8,100,1520
101,287,283,283,2,4,101,388
102,1455,1448,286,7,7,102,1557
103,1470,1465,289,7,5,103,1573
104,293,292,292,8,1,104,397
105,296,293,293,8,3,105,401
106,1498,1492,295,10,6,106,1604
107,301,298,298,4,3,107,408
108,303,300,300,3,3,108,411
109,306,302,302,4,4,109,415
110,307,305,305,9,2,110,417
111,1571,1566,310,3,5,111,1682
112,4045,4036,313,8,9,112,4157
113,1604,1599,316,1,5,113,1717
114,323,319,319,8,4,114,437
115,329,325,325,6,4,115,444
116,1659,1652,328,5,7,116,1775
117,1677,1669,331,7,8,117,1794
118,338,334,334,4,4,118,456
119,1705,1700,337,10,5,119,1824
120,1722,1715,340,8,7,120,1842
121,346,343,343,2,3,121,467
122,4108,4099,345,4,9,122,4230
123,351,348,348,1,3,123,474
124,1778,1771,350,7,7,124,1902
125,1792,1787,353,6,5,125,1917
126,359,356,356,4,3,126,485
127,1824,1818,359,2,6,127,1951
128,365,362,362,9,3,128,493
129,1853,1845,364,10,8,129,1982
130,1868,1861,367,6,7,130,1998
131,1892,1887,372,9,5,131,2023
132,4155,4146,375,3,9,132,4287
133,382,378,378,4,4,133,515
134,382,381,381,5,1,134,516
135,389,385,385,1,4,135,524
136,1967,1962,388,1,5,136,2103
137,395,391,391,6,4,137,532
138,1999,1992,394,6,7,138,2137
139,403,399,399,4,4,139,542
140,2036,2030,402,9,6,140,2176
141,2048,2043,405,4,5,141,2189
142,2063,2057,408,6,6,142,2205
143,2093,2087,415,8,6,143,2236
144,422,418,418,6,4,144,566
145,2123,2116,421,6,7,145,2268
146,428,424,424,3,4,146,574
147,2152,2147,427,1,5,147,2299
148,434,430,430,4,4,148,582
149,2170,2164,433,8,6,149,2319
150,440,436,436,2,4,150,590
151,2196,2190,439,3,6,151,2347
152,2216,2211,443,9,5,152,2368
153,2234,2227,446,6,7,153,2387
154,453,449,449,3,4,154,607
155,455,452,452,5,3,155,610
