Context Switch ¦¸¼Æ: ,0,Context Switch Cost: ,0, Average Waiting Time: ,1442.31, Average TurnAround Time: ,1447.3, Average Response Time: ,1442.31, Longest Wait: ,4692, Longest Turn: ,4703, Longest Response: ,4692, end time ,4992, Throughput: ,0.200321

id,turnaround time,waiting time,response time,priority,burst time,arrive time,finished time
1,7,0,0,5,7,1,8
2,1402,1397,1397,3,5,2,1404
3,7,5,5,3,2,3,10
4,3136,3129,3129,9,7,4,3140
5,8,5,5,8,3,5,13
6,64,60,60,7,4,6,70
7,70,66,66,5,4,7,77
8,8,5,5,2,3,8,16
9,79,75,75,4,4,9,88
10,9,6,6,3,3,10,19
11,1398,1393,1393,6,5,11,1409
12,10,7,7,2,3,12,22
13,3134,3127,3127,6,7,13,3147
14,2321,2315,2315,2,6,14,2335
15,77,73,73,2,4,15,92
16,9,6,6,2,3,16,25
17,3137,3130,3130,6,7,17,3154
18,12,9,9,5,3,18,30
19,20,17,17,3,3,19,39
20,2321,2315,2315,1,6,20,2341
21,4384,4375,4375,5,9,21,4405
22,22,19,19,10,3,22,44
23,4,2,2,2,2,23,27
24,74,70,70,5,4,24,98
25,3136,3129,3129,7,7,25,3161
26,1388,1383,1383,10,5,26,1414
27,1392,1387,1387,8,5,27,1419
28,4,2,2,9,2,28,32
29,4385,4376,4376,5,9,29,4414
30,3138,3131,3131,8,7,30,3168
31,3,1,1,8,2,31,34
32,4,2,2,2,2,32,36
33,72,68,68,3,4,33,105
34,1390,1385,1385,2,5,34,1424
35,2312,2306,2306,10,6,35,2347
36,4387,4378,4378,10,9,36,4423
37,2316,2310,2310,9,6,37,2353
38,3894,3886,3886,6,8,38,3932
39,2,0,0,2,2,39,41
40,7,4,4,4,3,40,47
41,1388,1383,1383,1,5,41,1429
42,2317,2311,2311,9,6,42,2359
43,78,74,74,6,4,43,121
44,7,4,4,6,3,44,51
45,3130,3123,3123,2,7,45,3175
46,2,1,1,7,1,46,48
47,3893,3885,3885,9,8,47,3940
48,89,85,85,7,4,48,137
49,5,2,2,1,3,49,54
50,92,88,88,3,4,50,142
51,2314,2308,2308,9,6,51,2365
52,4,2,2,8,2,52,56
53,3895,3887,3887,3,8,53,3948
54,5,2,2,2,3,54,59
55,91,87,87,2,4,55,146
56,3900,3892,3892,1,8,56,3956
57,4,2,2,1,2,57,61
58,2313,2307,2307,1,6,58,2371
59,5,2,2,9,3,59,64
60,3122,3115,3115,8,7,60,3182
61,1373,1368,1368,1,5,61,1434
62,4,2,2,8,2,62,66
63,3901,3893,3893,9,8,63,3964
64,2313,2307,2307,3,6,64,2377
65,1374,1369,1369,9,5,65,1439
66,3123,3116,3116,10,7,66,3189
67,2316,2310,2310,2,6,67,2383
68,82,78,78,9,4,68,150
69,4,1,1,7,3,69,73
