Context Switch ¦¸¼Æ: ,154,Context Switch Cost: ,0, Average Waiting Time: ,118.376, Average TurnAround Time: ,133.419, Average Response Time: ,115.134, Longest Wait: ,8421, Longest Turn: ,8446, Longest Response: ,8421, end time ,15065, Throughput: ,0.066379

id,turnaround time,waiting time,response time,priority,burst time,arrive time,finished time
1,27,7,0,4,20,16,43
2,7,0,0,6,7,28,35
3,16,0,0,1,16,45,61
4,14,3,3,7,11,58,72
5,14,0,0,10,14,73,87
6,24,3,3,2,21,84,108
7,15,7,7,8,8,101,116
8,16,2,2,3,14,114,130
9,13,2,2,1,11,128,141
10,34,14,3,7,20,138,172
11,11,0,0,4,11,148,159
12,22,11,11,7,11,161,183
13,22,6,6,2,16,177,199
14,21,8,8,2,13,191,212
15,27,8,8,8,19,204,231
16,58,41,41,6,17,214,272
17,19,6,6,8,13,225,244
18,22,11,11,10,11,233,255
19,27,11,11,2,16,261,288
20,26,12,12,3,14,276,302
21,30,12,12,4,18,290,320
22,30,15,15,4,15,305,335
23,40,22,12,1,18,323,363
24,10,0,0,8,10,340,350
25,41,22,10,1,19,353,394
26,12,0,0,6,12,368,380
27,17,2,2,1,15,392,409
28,11,3,3,3,8,406,417
29,21,0,0,1,21,420,441
30,24,7,7,8,17,434,458
31,29,14,14,9,15,444,473
32,35,14,14,4,21,459,494
33,55,33,33,5,22,483,538
34,16,3,3,9,13,491,507
35,12,3,3,2,9,504,516
36,311,290,290,7,21,522,833
37,17,2,2,10,15,536,553
38,22,4,4,10,18,549,571
39,47,27,27,9,20,560,607
40,19,3,3,2,16,568,587
41,2860,2838,2624,6,22,581,3441
42,34,15,15,4,19,592,626
43,18,9,9,9,9,617,635
44,19,6,6,9,13,629,648
45,17,0,0,5,17,648,665
46,18,3,3,8,15,662,680
47,23,10,10,7,13,670,693
48,29,14,14,2,15,679,708
49,62,45,45,9,17,693,755
50,18,2,2,8,16,706,724
51,20,6,6,7,14,718,738
52,79,59,59,4,20,733,812
53,24,10,10,3,14,745,769
54,17,5,5,7,12,764,781
55,16,5,5,1,11,776,792
56,3559,3536,3455,4,23,794,4353
57,36,18,18,4,18,815,851
58,64,45,13,1,19,838,902
59,16,0,0,8,16,852,868
60,24,8,8,4,16,860,884
61,2748,2726,2716,10,22,872,3620
62,120,100,100,8,20,885,1005
63,16,4,4,10,12,898,914
64,15,0,0,7,15,914,929
65,21,7,7,6,14,922,943
66,22,6,6,3,16,937,959
67,22,6,6,3,16,953,975
68,13,3,3,7,10,972,985
69,55,35,35,2,20,985,1040
70,19,4,4,1,15,1001,1020
71,32,16,16,9,16,1024,1056
72,40,24,24,8,16,1032,1072
73,81,64,50,5,17,1044,1125
74,26,13,13,9,13,1059,1085
75,15,6,6,8,9,1079,1094
76,14,0,0,9,14,1095,1109
77,44,25,13,8,19,1112,1156
78,12,0,0,4,12,1131,1143
79,29,11,11,3,18,1145,1174
80,120,102,102,6,18,1151,1271
81,21,9,9,2,12,1165,1186
82,14,4,4,9,10,1182,1196
83,21,7,7,9,14,1189,1210
84,21,5,5,4,16,1205,1226
85,19,5,5,7,14,1221,1240
86,18,5,5,2,13,1235,1253
87,57,38,38,9,19,1251,1308
88,18,0,0,10,18,1271,1289
89,86,67,67,4,19,1283,1369
90,18,3,3,8,15,1305,1323
91,17,4,4,5,13,1319,1336
92,16,2,2,4,14,1334,1350
93,55,35,35,5,20,1345,1400
94,18,7,7,6,11,1362,1380
95,313,292,292,10,21,1378,1691
96,20,9,9,10,11,1391,1411
97,18,4,4,9,14,1407,1425
98,27,10,10,4,17,1415,1442
99,24,9,9,7,15,1433,1457
100,33,16,16,10,17,1441,1474
101,52,35,35,4,17,1455,1507
102,17,1,1,7,16,1473,1490
103,76,57,57,9,19,1486,1562
104,23,10,10,10,13,1497,1520
105,16,2,2,5,14,1518,1534
106,10,1,1,7,9,1533,1543
107,27,12,12,1,15,1550,1577
108,50,34,34,2,16,1566,1616
109,12,3,3,2,9,1574,1586
110,15,1,1,3,14,1585,1600
111,26,12,12,7,14,1604,1630
112,23,11,11,3,12,1619,1642
113,42,26,14,1,16,1628,1670
114,12,0,0,7,12,1644,1656
115,222,201,173,9,21,1660,1882
116,36,18,18,7,18,1673,1709
117,285,264,251,10,21,1685,1970
118,29,10,10,9,19,1699,1728
119,416,395,367,8,21,1711,2127
120,19,4,4,4,15,1724,1743
121,11,3,3,7,8,1740,1751
122,17,1,1,2,16,1750,1767
123,23,9,9,7,14,1758,1781
124,24,8,8,1,16,1773,1797
125,15,7,7,8,8,1790,1805
126,21,3,3,8,18,1802,1823
127,12,2,2,3,10,1821,1833
128,14,0,0,6,14,1837,1851
129,14,0,0,1,14,1851,1865
130,52,32,32,1,20,1867,1919
131,23,6,6,7,17,1876,1899
132,290,269,269,6,21,1895,2185
133,22,5,5,7,17,1914,1936
134,1752,1730,1717,6,22,1926,3678
135,13,0,0,6,13,1940,1953
136,29,12,12,1,17,1958,1987
137,34,17,17,4,17,1970,2004
138,69,51,51,6,18,1985,2054
139,22,7,7,2,15,1997,2019
140,24,7,7,5,17,2012,2036
141,2421,2398,2398,8,23,2026,4447
142,24,11,11,10,13,2043,2067
143,20,9,9,10,11,2058,2078
144,14,0,0,10,14,2079,2093
145,16,2,2,8,14,2091,2107
146,262,241,230,10,21,2110,2372
147,20,2,2,8,18,2125,2145
148,25,6,6,8,19,2139,2164
149,398,377,327,8,21,2158,2556
150,27,12,12,5,15,2173,2200
151,29,12,12,1,17,2188,2217
152,47,29,29,4,18,2203,2250
153,20,5,5,8,15,2212,2232
154,680,659,608,9,21,2222,2902
155,59,39,13,7,20,2237,2296
156,12,0,0,5,12,2255,2267
157,15,1,1,6,14,2266,2281
158,2384,2361,2361,1,23,2277,4661
159,22,7,7,2,15,2289,2311
160,25,15,15,8,10,2303,2328
161,9,2,2,1,7,2309,2318
162,12,0,0,9,12,2328,2340
163,11,0,0,3,11,2341,2352
164,21,9,9,7,12,2363,2384
165,32,20,11,6,12,2373,2405
166,9,0,0,8,9,2385,2394
167,23,6,6,9,17,2399,2422
168,22,5,5,1,17,2417,2439
169,24,7,7,3,17,2432,2456
170,22,8,8,2,14,2448,2470
171,20,5,5,5,15,2465,2485
172,16,0,0,2,16,2487,2503
173,18,8,8,3,10,2495,2513
174,16,3,3,6,13,2510,2526
175,11,0,0,3,11,2527,2538
176,51,32,32,10,19,2542,2593
177,20,2,2,5,18,2554,2574
178,620,599,561,10,21,2567,3187
179,60,41,16,7,19,2577,2637
180,16,0,0,3,16,2595,2611
181,13,4,4,6,9,2607,2620
182,30,12,12,9,18,2625,2655
183,93,74,48,6,19,2639,2732
184,24,6,6,6,18,2649,2673
185,19,5,5,7,14,2668,2687
186,15,0,0,4,15,2688,2703
187,11,0,0,2,11,2706,2717
188,24,10,10,4,14,2722,2746
189,64,44,9,4,20,2737,2801
190,14,0,0,4,14,2747,2761
191,12,0,0,1,12,2764,2776
192,9,0,0,4,9,2780,2789
193,23,7,7,4,16,2794,2817
194,16,3,3,4,13,2814,2830
195,10,0,0,2,10,2831,2841
196,14,0,0,1,14,2843,2857
197,13,1,1,3,12,2856,2869
198,17,2,2,2,15,2867,2884
199,43,25,25,1,18,2877,2920
200,1055,1033,1033,8,22,2890,3945
201,38,20,20,3,18,2900,2938
202,1225,1203,1185,7,22,2918,4143
203,20,2,2,1,18,2936,2956
204,24,8,8,5,16,2948,2972
205,18,3,3,3,15,2969,2987
206,25,9,9,4,16,2978,3003
207,58,41,41,7,17,2988,3046
208,11,0,0,7,11,3003,3014
209,15,0,0,5,15,3014,3029
210,36,18,18,3,18,3028,3064
211,1133,1111,1111,1,22,3045,4178
212,21,2,2,3,19,3062,3083
213,20,3,3,4,17,3080,3100
214,15,5,5,9,10,3095,3110
215,24,6,6,8,18,3104,3128
216,2639,2616,2616,10,23,3120,5759
217,14,0,0,2,14,3132,3146
218,16,1,1,9,15,3145,3161
219,9,0,0,6,9,3162,3171
220,26,8,8,8,18,3179,3205
221,2910,2887,2874,4,23,3190,6100
222,18,0,0,6,18,3206,3224
223,16,2,2,1,14,3222,3238
224,20,2,2,9,18,3236,3256
225,19,3,3,1,16,3253,3272
226,22,3,3,5,19,3269,3291
227,30,11,11,9,19,3280,3310
228,26,9,9,6,17,3301,3327
229,59,40,32,6,19,3310,3369
230,21,6,6,9,15,3321,3342
231,8,0,0,5,8,3344,3352
232,25,8,8,1,17,3361,3386
233,24,8,8,6,16,3378,3402
234,16,7,7,5,9,3395,3411
235,9,0,0,7,9,3412,3421
236,36,20,9,10,16,3432,3468
237,11,0,0,8,11,3444,3455
238,28,12,12,3,16,3456,3484
239,33,13,13,8,20,3471,3504
240,32,15,15,5,17,3489,3521
241,32,16,16,8,16,3505,3537
242,35,20,20,9,15,3525,3560
243,8,0,0,7,8,3537,3545
244,19,5,5,1,14,3555,3574
245,16,2,2,7,14,3572,3588
246,10,0,0,6,10,3597,3607
247,20,10,10,2,10,3610,3630
248,16,3,3,8,13,3627,3643
249,13,0,0,4,13,3645,3658
250,116,97,87,7,19,3659,3775
251,20,6,6,5,14,3672,3692
252,23,8,8,10,15,3684,3707
253,26,11,11,5,15,3696,3722
254,122,103,103,8,19,3705,3827
255,19,1,1,8,18,3721,3740
256,7,1,1,7,6,3739,3746
257,10,0,0,4,10,3752,3762
258,20,6,6,7,14,3769,3789
259,22,9,9,2,13,3780,3802
260,10,4,4,1,6,3798,3808
261,24,7,7,7,17,3820,3844
262,91,71,12,6,20,3832,3923
263,11,0,0,1,11,3845,3856
264,17,1,1,4,16,3855,3872
265,13,1,1,3,12,3871,3884
266,10,0,0,8,10,3888,3898
267,10,0,0,3,10,3902,3912
268,62,44,44,10,18,3927,3989
269,15,5,5,10,10,3940,3955
270,18,2,2,1,16,3953,3971
271,95,74,74,6,21,3971,4066
272,13,0,0,7,13,3989,4002
273,16,1,1,1,15,4001,4017
274,17,2,2,4,15,4015,4032
275,19,6,6,9,13,4026,4045
276,212,190,182,7,22,4037,4249
277,40,23,23,9,17,4050,4090
278,10,3,3,1,7,4063,4073
279,20,7,7,6,13,4083,4103
280,14,0,0,5,14,4106,4120
281,4,0,0,7,4,4128,4132
282,18,5,5,3,13,4138,4156
283,2777,2752,2723,4,25,4151,6928
284,23,11,11,3,12,4167,4190
285,25,9,9,10,16,4181,4206
286,2029,2006,1998,1,23,4190,6219
287,15,2,2,10,13,4204,4219
288,8,0,0,5,8,4226,4234
289,2046,2023,2010,9,23,4237,6283
290,15,0,0,1,15,4253,4268
291,11,1,1,5,10,4267,4278
292,15,1,1,6,14,4277,4292
293,19,4,4,9,15,4288,4307
294,17,3,3,6,14,4304,4321
295,13,0,0,1,13,4323,4336
296,40,26,26,1,14,4339,4379
297,13,1,1,5,12,4352,4365
298,26,13,13,6,13,4366,4392
299,19,3,3,2,16,4389,4408
300,19,3,3,4,16,4405,4424
301,107,85,56,8,22,4425,4532
302,14,0,0,10,14,4447,4461
303,20,0,0,3,20,4461,4481
304,13,0,0,8,13,4483,4496
305,20,4,4,3,16,4492,4512
306,2038,2015,1975,1,23,4507,6545
307,21,10,10,4,11,4522,4543
308,29,12,12,4,17,4531,4560
309,30,15,15,3,15,4545,4575
310,39,22,22,9,17,4553,4592
311,46,29,29,8,17,4569,4615
312,12,6,6,10,6,4586,4598
313,21,10,10,3,11,4605,4626
314,12,0,0,3,12,4626,4638
315,67,50,50,2,17,4646,4713
316,17,4,4,4,13,4657,4674
317,14,3,3,3,11,4671,4685
318,12,1,1,3,11,4684,4696
319,46,28,19,8,18,4694,4740
320,327,307,307,4,20,4705,5032
321,9,0,0,4,9,4721,4730
322,23,4,4,3,19,4736,4759
323,36,21,10,1,15,4749,4785
324,11,0,0,4,11,4761,4772
325,17,6,6,10,11,4779,4796
326,22,3,3,1,19,4793,4815
327,29,10,10,4,19,4805,4834
328,60,41,41,4,19,4818,4878
329,16,2,2,6,14,4832,4848
330,19,8,8,7,11,4840,4859
331,39,20,20,9,19,4858,4897
332,1985,1961,1947,3,24,4877,6862
333,18,9,9,6,9,4888,4906
334,17,5,5,3,12,4901,4918
335,21,2,2,10,19,4916,4937
336,18,1,1,9,17,4936,4954
337,21,6,6,6,15,4948,4969
338,22,5,5,5,17,4964,4986
339,19,6,6,2,13,4980,4999
340,16,3,3,8,13,4996,5012
341,181,161,133,6,20,5012,5193
342,23,9,9,1,14,5023,5046
343,23,7,7,9,16,5039,5062
344,24,12,12,8,12,5050,5074
345,27,14,14,3,13,5060,5087
346,27,10,10,1,17,5077,5104
347,26,12,12,2,14,5092,5118
348,20,7,7,7,13,5111,5131
349,22,8,8,5,14,5123,5145
350,445,424,416,9,21,5136,5581
351,15,0,0,10,15,5149,5164
352,13,0,0,8,13,5165,5178
353,33,16,16,3,17,5177,5210
354,55,37,26,10,18,5194,5249
355,14,4,4,3,10,5206,5220
356,11,0,0,4,11,5225,5236
357,23,7,7,3,16,5242,5265
358,25,11,11,8,14,5254,5279
359,36,21,21,9,15,5268,5304
360,12,2,2,8,10,5277,5289
361,197,179,179,5,18,5284,5481
362,26,9,9,10,17,5295,5321
363,23,9,9,3,14,5312,5335
364,22,5,5,2,17,5330,5352
365,28,11,11,2,17,5341,5369
366,111,94,94,2,17,5352,5463
367,18,6,6,2,12,5363,5381
368,20,7,7,7,13,5374,5394
369,20,7,7,7,13,5387,5407
370,24,8,8,5,16,5399,5423
371,21,9,9,7,12,5414,5435
372,14,3,3,4,11,5432,5446
373,227,205,205,5,22,5452,5679
374,24,5,5,5,19,5476,5500
375,29,11,11,1,18,5489,5518
376,25,11,11,9,14,5507,5532
377,22,11,11,7,11,5521,5543
378,16,7,7,2,9,5536,5552
379,8,0,0,6,8,5556,5564
380,30,9,9,2,21,5572,5602
381,30,13,13,3,17,5589,5619
382,22,8,8,5,14,5611,5633
383,23,7,7,1,16,5626,5649
384,15,7,7,7,8,5642,5657
385,25,12,12,7,13,5667,5692
386,18,7,7,4,11,5685,5703
387,24,5,5,1,19,5698,5722
388,21,7,7,9,14,5715,5736
389,898,875,861,1,23,5735,6633
390,22,8,8,9,14,5751,5773
391,25,3,3,8,22,5770,5795
392,84,63,39,7,21,5781,5865
393,11,0,0,8,11,5795,5806
394,16,2,2,10,14,5804,5820
395,12,0,0,1,12,5822,5834
396,12,0,0,2,12,5838,5850
397,54,38,14,2,16,5851,5905
398,13,0,0,2,13,5867,5880
399,15,4,4,10,11,5876,5891
400,48,28,28,10,20,5889,5937
401,14,2,2,7,12,5903,5917
402,58,42,29,6,16,5921,5979
403,14,1,1,5,13,5936,5950
404,13,0,0,3,13,5952,5965
405,30,12,12,1,18,5967,5997
406,37,18,18,5,19,5979,6016
407,62,42,31,2,20,5994,6056
408,12,3,3,7,9,6013,6025
409,11,0,0,9,11,6032,6043
410,15,7,7,7,8,6049,6064
411,13,0,0,10,13,6069,6082
412,42,22,10,1,20,6090,6132
413,12,0,0,3,12,6104,6116
414,29,9,9,1,20,6123,6152
415,20,9,9,7,11,6143,6163
416,18,3,3,1,15,6160,6178
417,15,5,5,4,10,6173,6188
418,8,0,0,7,8,6190,6198
419,26,10,10,9,16,6209,6235
420,18,6,6,6,12,6229,6247
421,13,0,0,8,13,6250,6263
422,50,28,13,7,22,6270,6320
423,15,0,0,5,15,6284,6299
424,47,29,29,7,18,6302,6349
425,14,3,3,8,11,6317,6331
426,105,85,85,5,20,6327,6432
427,28,11,11,8,17,6338,6366
428,48,29,11,1,19,6355,6403
429,9,0,0,8,9,6370,6379
430,9,0,0,8,9,6380,6389
431,17,8,8,2,9,6395,6412
432,8446,8421,8421,6,25,6412,14858
433,21,3,3,3,18,6429,6450
434,28,12,12,6,16,6438,6466
435,30,14,14,1,16,6452,6482
436,301,278,251,5,23,6468,6769
437,12,0,0,1,12,6487,6499
438,16,0,0,2,16,6499,6515
439,12,0,0,4,12,6516,6528
440,24,10,10,9,14,6535,6559
441,24,8,8,10,16,6551,6575
442,19,6,6,3,13,6569,6588
443,12,4,4,1,8,6584,6596
444,14,0,0,4,14,6598,6612
445,83,61,35,3,22,6609,6692
446,20,9,9,7,11,6624,6644
447,12,0,0,5,12,6649,6661
448,14,0,0,8,14,6661,6675
449,26,11,11,6,15,6681,6707
450,19,7,7,5,12,6700,6719
451,12,0,0,6,12,6723,6735
452,15,0,0,3,15,6738,6753
453,58,41,14,3,17,6755,6813
454,13,0,0,2,13,6771,6784
455,14,0,0,9,14,6784,6798
456,18,7,7,1,11,6806,6824
457,14,0,0,8,14,6825,6839
458,8038,8013,8013,9,25,6845,14883
459,15,3,3,1,12,6859,6874
460,16,0,0,5,16,6878,6894
461,13,0,0,6,13,6898,6911
462,31,15,15,3,16,6913,6944
463,39,23,23,3,16,6932,6971
464,12,1,1,10,11,6943,6955
465,32,15,15,8,17,6956,6988
466,31,14,14,3,17,6974,7005
467,123,104,73,7,19,6989,7112
468,17,2,2,8,15,7003,7020
469,18,7,7,4,11,7013,7031
470,26,8,8,2,18,7023,7049
471,142,121,101,8,21,7036,7178
472,17,4,4,5,13,7045,7062
473,16,0,0,4,16,7064,7080
474,15,0,0,8,15,7080,7095
475,26,9,9,8,17,7103,7129
476,16,8,8,9,8,7121,7137
477,11,0,0,7,11,7146,7157
478,10,1,1,4,9,7156,7166
479,40,17,6,8,23,7172,7212
480,11,0,0,2,11,7187,7198
481,27,11,11,9,16,7201,7228
482,799,777,765,3,22,7210,8009
483,37,16,4,6,21,7224,7261
484,12,0,0,1,12,7236,7248
485,88,72,72,4,16,7248,7336
486,18,3,3,6,15,7258,7276
487,23,9,9,1,14,7267,7290
488,24,9,9,1,15,7281,7305
489,18,3,3,6,15,7302,7320
490,62,45,45,2,17,7317,7379
491,26,10,10,8,16,7326,7352
492,82,63,63,1,19,7337,7419
493,14,4,4,6,10,7348,7362
494,16,6,6,10,10,7373,7389
495,13,2,2,3,11,7387,7400
496,23,10,10,3,13,7409,7432
497,24,10,10,2,14,7422,7446
498,43,27,27,1,16,7430,7473
499,13,2,2,3,11,7444,7457
500,42,26,26,7,16,7456,7498
501,12,3,3,2,9,7470,7482
502,46,29,17,2,17,7481,7527
503,12,0,0,1,12,7500,7512
504,33,14,14,5,19,7513,7546
505,29,13,13,10,16,7533,7562
506,35,17,17,10,18,7545,7580
507,37,19,19,5,18,7561,7598
508,45,27,27,8,18,7571,7616
509,522,500,484,4,22,7581,8103
510,30,15,15,3,15,7601,7631
511,27,10,10,1,17,7621,7648
512,30,14,6,4,16,7642,7672
513,8,0,0,7,8,7649,7657
514,24,9,9,8,15,7663,7687
515,39,25,25,4,14,7674,7713
516,13,1,1,3,12,7686,7699
517,30,12,12,3,18,7701,7731
518,44,26,26,7,18,7717,7761
519,12,0,0,5,12,7731,7743
520,36,20,14,9,16,7747,7783
521,56,40,40,10,16,7758,7814
522,6,0,0,2,6,7769,7775
523,18,3,3,1,15,7780,7798
524,35,16,16,5,19,7798,7833
525,75,54,17,3,21,7816,7891
526,15,0,0,5,15,7834,7849
527,12,2,2,9,10,7847,7859
528,13,1,1,6,12,7858,7871
529,40,20,20,5,20,7871,7911
530,7072,7046,7046,1,26,7887,14959
531,19,6,6,2,13,7905,7924
532,19,0,0,6,19,7924,7943
533,22,9,9,3,13,7934,7956
534,23,4,4,4,19,7952,7975
535,1296,1272,1259,3,24,7965,9261
536,12,0,0,4,12,7981,7993
537,41,26,26,4,15,7996,8037
538,14,1,1,7,13,8008,8022
539,24,11,11,1,13,8026,8050
540,21,6,6,9,15,8044,8065
541,6,0,0,1,6,8067,8073
542,10,0,0,1,10,8077,8087
543,32,14,14,4,18,8089,8121
544,263,240,214,8,23,8097,8360
545,22,7,7,8,15,8114,8136
546,22,10,10,7,12,8126,8148
547,18,6,6,2,12,8142,8160
548,22,8,8,2,14,8152,8174
549,30,13,13,5,17,8161,8191
550,37,21,11,6,16,8180,8217
551,10,0,0,2,10,8193,8203
552,23,10,10,4,13,8207,8230
553,995,972,947,10,23,8215,9210
554,16,6,6,5,10,8224,8240
555,12,1,1,10,11,8239,8251
556,13,1,1,4,12,8250,8263
557,24,2,2,9,22,8261,8285
558,26,11,11,9,15,8274,8300
559,16,5,5,10,11,8295,8311
560,16,0,0,6,16,8313,8329
561,77,56,46,1,21,8326,8403
